rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,avg_score,adj_avg_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
1,CHP01193,葛蕈,0.7676010963119757,0.96053664625,0.7542453736210141,15.36858634,0.96053664625,0.9896582393333335,15.0,0.9375
2,CHP01104,福寿草,0.758079088730047,0.9242254116999999,0.7575433869382121,18.484508234,0.9242254116999999,0.9908739088888888,18.0,0.9
3,CHP03767,莳萝子,0.7539797793605753,0.9892425362499999,0.6753185368970203,7.913940289999999,0.9892425362499999,0.9892425362499999,8.0,1.0
4,CHP04325,文冠木,0.7351638628525956,0.9935469860000001,0.6139685536097578,4.967734930000001,0.9935469860000001,0.9935469860000001,5.0,1.0
5,CHP00793,东北刺人参,0.7349065807186281,0.90946065625,0.7228139951594756,14.5513705,0.90946065625,0.9748382214285715,14.0,0.875
6,CHP01143,干地黄,0.7264335031403703,0.8821820999999999,0.73443927335956,18.525824099999998,0.8821820999999999,0.9807571082352942,17.0,0.8095238095238095
7,CHP02470,路边姜,0.7260890508525957,0.975397362,0.6079186789430912,4.87698681,0.975397362,0.975397362,5.0,1.0
8,CHP05007,椰子,0.7253794014131567,0.9916122325,0.5863030217247404,3.96644893,0.9916122325,0.9916122325,4.0,1.0
9,CHP01849,假细锥香茶菜,0.7249570084845854,0.9907426,0.586054555296169,3.9629704,0.9907426,0.9907426,4.0,1.0
10,CHP05105,野芝麻根,0.722807288219975,0.93212705375,0.6499338780081314,7.45701643,0.93212705375,0.93212705375,7.0,1.0
11,CHP05322,月季花,0.710618268421947,0.8824567027272727,0.6642293859117316,9.70702373,0.8824567027272727,0.956927355,10.0,0.9090909090909091
12,CHP02120,苦楝实,0.7072576827482556,0.97444045,0.551162671088182,2.92332135,0.97444045,0.97444045,3.0,1.0
13,CHP05463,珍珠菜,0.7053334328015265,0.9952595500000001,0.5193593728455305,1.9905191000000002,0.9952595500000001,0.9952595500000001,2.0,1.0
14,CHP04543,线叶金鸡菊,0.7043646593015265,0.99310672,0.5190005678455305,1.98621344,0.99310672,0.99310672,2.0,1.0
15,CHP03970,松叶,0.7030718641988711,0.94568495,0.5731809410104548,3.7827398,0.94568495,0.94568495,4.0,1.0
16,CHP05345,云南菟丝子,0.7024250040515264,0.988796375,0.5182821770121971,1.97759275,0.988796375,0.988796375,2.0,1.0
17,CHP02539,绿笋片,0.6993472043015264,0.98195682,0.5171422511788638,1.96391364,0.98195682,0.98195682,2.0,1.0
18,CHP05555,猪殃殃,0.6988865393015264,0.98093312,0.5169716345121972,1.96186624,0.98093312,0.98093312,2.0,1.0
19,CHP04577,香青兰,0.6979201327738966,0.9545407533333333,0.5465704333958743,2.86362226,0.9545407533333333,0.9545407533333333,3.0,1.0
20,CHP05837,海参,0.6932664534051981,0.9990581,0.4764410431042151,0.9990581,0.9990581,0.9990581,1.0,1.0
21,CHP05683,紫藤,0.6931062474961073,0.99868315,0.4764069567405787,0.99868315,0.99868315,0.99868315,1.0,1.0
22,CHP02182,兰花,0.6930273524918453,0.9441135166666667,0.5441641480112589,2.83234055,0.9441135166666667,0.9441135166666667,3.0,1.0
23,CHP06040,象骨,0.6928569979506528,0.9980998,0.4763539249223969,0.9980998,0.9980998,0.9980998,1.0,1.0
24,CHP00763,吊兰,0.6927865577688346,0.99793494,0.47633893764966967,0.99793494,0.99793494,0.99793494,1.0,1.0
25,CHP04598,香樟叶,0.6927153997688346,0.9977684,0.47632379764966964,0.9977684,0.9977684,0.9977684,1.0,1.0
26,CHP05495,枳椇根,0.6926908743142891,0.997711,0.47631857946785144,0.997711,0.997711,0.997711,1.0,1.0
27,CHP03772,柿根,0.6926715263015265,0.9671219799999999,0.5146697778455305,1.9342439599999999,0.9671219799999999,0.9671219799999999,2.0,1.0
28,CHP04604,向日葵花,0.6926261638597436,0.99755955,0.47630481128603325,0.99755955,0.99755955,0.99755955,1.0,1.0
29,CHP02525,驴蹄草,0.6924060714051982,0.99704444,0.4762579831042151,0.99704444,0.99704444,0.99704444,1.0,1.0
30,CHP04215,土百部,0.6922924424961073,0.9967785,0.47623380674057875,0.9967785,0.9967785,0.9967785,1.0,1.0
31,CHP01086,芙蓉花,0.6922900497688346,0.9967729,0.4762332976496696,0.9967729,0.9967729,0.9967729,1.0,1.0
32,CHP04992,洋葱,0.6920256534051982,0.9961541,0.4761770431042151,0.9961541,0.9961541,0.9961541,1.0,1.0
33,CHP03741,石楠,0.6920001452233799,0.9960944,0.47617161583148776,0.9960944,0.9960944,0.9960944,1.0,1.0
34,CHP06157,琥珀,0.6917269897688346,0.9954551,0.47611349764966965,0.9954551,0.9954551,0.9954551,1.0,1.0
35,CHP00640,当药,0.6916073457871424,0.9426023066666668,0.5438154072420281,2.8278069200000004,0.9426023066666668,0.9426023066666668,2.0,1.0
36,CHP01063,凤凰木,0.6912026834051982,0.994228,0.47600194310421506,0.994228,0.994228,0.994228,1.0,1.0
37,CHP04059,桃根,0.6911456638597436,0.99409455,0.47598981128603324,0.99409455,0.99409455,0.99409455,1.0,1.0
38,CHP02293,栗树皮,0.6910032638015264,0.96341473,0.5140519028455305,1.92682946,0.96341473,0.96341473,2.0,1.0
39,CHP05004,药西瓜,0.6909784720415618,0.99370325,0.47595423855876057,0.99370325,0.99370325,0.99370325,1.0,1.0
40,CHP05796,灯心柳珊瑚,0.6908632579506527,0.9934336,0.47592972492239694,0.9934336,0.9934336,0.9934336,1.0,1.0
41,CHP05198,鹰不泊,0.6908280335870164,0.99335116,0.47592223037694237,0.99335116,0.99335116,0.99335116,1.0,1.0
42,CHP04385,芜菁甘蓝,0.6906424006779254,0.9929167,0.475882734013306,0.9929167,0.9929167,0.9929167,1.0,1.0
43,CHP03299,驱虫斑鸠菊,0.6898673706779254,0.9911028,0.475717834013306,0.9911028,0.9911028,0.9911028,1.0,1.0
44,CHP00413,川滇淫羊藿,0.6895480350793746,0.91693963,0.6431839118970203,7.33551704,0.91693963,0.9821976633333334,6.0,0.75
45,CHP05694,紫薇叶,0.6894920970415618,0.9902245,0.47563798855876055,0.9902245,0.9902245,0.9902245,1.0,1.0
46,CHP03567,山棯叶,0.6894658838597436,0.99016315,0.47563241128603323,0.99016315,0.99016315,0.99016315,1.0,1.0
47,CHP05610,姊妹树,0.688963411132471,0.98898715,0.47552550219512413,0.98898715,0.98898715,0.98898715,1.0,1.0
48,CHP02815,棉花,0.6888124129506527,0.98863375,0.4754933749223969,0.98863375,0.98863375,0.98863375,1.0,1.0
49,CHP01072,凤仙花,0.6885686324961072,0.9880632,0.4754415067405787,0.9880632,0.9880632,0.9880632,1.0,1.0
50,CHP00130,白牛胆,0.6885339806779255,0.9879821,0.475434134013306,0.9879821,0.9879821,0.9879821,1.0,1.0
51,CHP04481,细香葱,0.6877021105870164,0.98603517,0.47525714037694233,0.98603517,0.98603517,0.98603517,1.0,1.0
52,CHP02918,南板蓝根,0.6876610388938608,0.9168840174999999,0.5649521031533118,3.6675360699999997,0.9168840174999999,0.9168840174999999,2.0,1.0
53,CHP05408,樟脑,0.6868700396779255,0.98408777,0.475080104013306,0.98408777,0.98408777,0.98408777,1.0,1.0
54,CHP05848,黑蚂蚁,0.68646561322338,0.98314124,0.4749940558314878,0.98314124,0.98314124,0.98314124,1.0,1.0
55,CHP04777,新疆藁本,0.6861199268015264,0.95256287,0.5122432595121972,1.90512574,0.95256287,0.95256287,2.0,1.0
56,CHP03015,牛舌头,0.68568503722338,0.98131436,0.4748279758314878,0.98131436,0.98131436,0.98131436,1.0,1.0
57,CHP03685,生漆,0.6852332649666296,0.9290181999999999,0.5406806133958744,2.7870546,0.9290181999999999,0.9290181999999999,2.0,1.0
58,CHP03810,薯莨,0.6827942979506527,0.9745488,0.4742129249223969,0.9745488,0.9745488,0.9745488,1.0,1.0
